unique_id,metric,value,taxonomic_resolution,spatial_resolution,metric_class,influence_of_disturbance,ref_median,bound,metric_bde,upper,lower,score
west_102_x_2015,pct_ept_rich,33.3333333333333,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_102_x_2016,pct_ept_rich,16.6666666666667,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,10.1180744777475
west_102_x_2017,pct_ept_rich,25,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,55.5313351498638
west_103_x_2014,pct_ept_rich,33.3333333333333,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_103_x_2015,pct_ept_rich,28.5714285714286,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,74.9941611521993
west_103_x_2016,pct_ept_rich,25,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,55.5313351498638
west_103_x_2017,pct_ept_rich,33.3333333333333,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_104_x_2014,pct_ept_rich,10,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_104_x_2015,pct_ept_rich,30,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,82.7792915531335
west_104_x_2016,pct_ept_rich,20,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,28.283378746594
west_104_x_2017,pct_ept_rich,33.3333333333333,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_105_x_2014,pct_ept_rich,25,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,55.5313351498638
west_105_x_2015,pct_ept_rich,25,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,55.5313351498638
west_105_x_2016,pct_ept_rich,37.5,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_105_x_2017,pct_ept_rich,14.2857142857143,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_106_x_2014,pct_ept_rich,14.2857142857143,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_106_x_2015,pct_ept_rich,9.09090909090909,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_106_x_2016,pct_ept_rich,0,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_106_x_2017,pct_ept_rich,0,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_107_x_2014,pct_ept_rich,28.5714285714286,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,74.9941611521993
west_107_x_2015,pct_ept_rich,28.5714285714286,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,74.9941611521993
west_108_x_2014,pct_ept_rich,14.2857142857143,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_108_x_2015,pct_ept_rich,25,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,55.5313351498638
west_108_x_2016,pct_ept_rich,22.2222222222222,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,40.3935815924917
west_108_x_2017,pct_ept_rich,16.6666666666667,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,10.1180744777475
west_109_x_2014,pct_ept_rich,42.8571428571429,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_109_x_2015,pct_ept_rich,25,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,55.5313351498638
west_109_x_2016,pct_ept_rich,20,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,28.283378746594
west_109_x_2017,pct_ept_rich,20,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,28.283378746594
west_110_r_2017,pct_ept_rich,14.2857142857143,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,0
west_110_x_2016,pct_ept_rich,16.6666666666667,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,10.1180744777475
west_110_x_2017,pct_ept_rich,16.6666666666667,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,10.1180744777475
west_114_r_2016,pct_ept_rich,33.3333333333333,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_ajc_x_2016,pct_ept_rich,60,family,coast,richness/diversity,decrease,33.16,14.81,71.43,33.16,14.81,100
west_101_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_101_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_101_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_101_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_102_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_102_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_102_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_102_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_103_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_103_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_103_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_103_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_104_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_104_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_104_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_104_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_105_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_105_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_105_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_105_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_106_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_106_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_106_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_106_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_107_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_107_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_108_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_108_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_108_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_108_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_109_x_2014,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_109_x_2015,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_109_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_109_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_110_r_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_110_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_110_x_2017,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_114_r_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_ajc_x_2016,rich_ephemeroptera,0,family,coast,richness/diversity,decrease,2,0,80.95,2,0,0
west_101_x_2014,pct_collect,74.1176470588235,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_101_x_2015,pct_collect,73.6842105263158,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_101_x_2016,pct_collect,95.9677419354839,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_101_x_2017,pct_collect,96.2962962962963,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_102_x_2014,pct_collect,64.2201834862386,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_102_x_2015,pct_collect,68.3168316831683,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_102_x_2016,pct_collect,88.6363636363637,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,27.5259331863105
west_102_x_2017,pct_collect,67.2727272727273,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_103_x_2014,pct_collect,79.4117647058824,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_103_x_2015,pct_collect,74.2574257425743,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_103_x_2016,pct_collect,90.1960784313726,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,13.512323168261
west_103_x_2017,pct_collect,73.8317757009346,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_104_x_2014,pct_collect,83.7837837837838,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,71.1250333891842
west_104_x_2015,pct_collect,78.3582089552239,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_104_x_2016,pct_collect,78.3018867924528,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_104_x_2017,pct_collect,50.8620689655172,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_105_x_2014,pct_collect,92.2413793103448,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_105_x_2015,pct_collect,85.7142857142857,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,53.7800025670646
west_105_x_2016,pct_collect,90,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,15.2740341419587
west_105_x_2017,pct_collect,66.3865546218487,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_106_x_2014,pct_collect,96.6666666666667,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_106_x_2015,pct_collect,92.6229508196721,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_106_x_2016,pct_collect,96.3503649635037,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_106_x_2017,pct_collect,95.6834532374101,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_107_x_2014,pct_collect,97.3913043478261,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_107_x_2015,pct_collect,97.8947368421053,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_108_x_2014,pct_collect,93.75,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_108_x_2015,pct_collect,95.3271028037383,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_108_x_2016,pct_collect,83.1325301204819,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,76.9763690882126
west_108_x_2017,pct_collect,92.1052631578947,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_109_x_2014,pct_collect,90.4347826086957,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,11.3676315481073
west_109_x_2015,pct_collect,86.5384615384616,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,46.3750086391595
west_109_x_2016,pct_collect,67.8899082568807,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_109_x_2017,pct_collect,91.2280701754386,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,4.24016014879976
west_110_r_2017,pct_collect,96.8503937007874,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_110_x_2016,pct_collect,80.1801801801802,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_110_x_2017,pct_collect,92.8571428571429,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,0
west_114_r_2016,pct_collect,68.1818181818182,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,100
west_ajc_x_2016,pct_collect,83.1858407079646,family,coast,ffg,increase,80.57,91.7,66.67,91.7,80.57,76.4973880686019
west_101_x_2014,pct_predator,17.6470588235294,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_101_x_2015,pct_predator,2.63157894736842,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_101_x_2016,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_101_x_2017,pct_predator,1.85185185185185,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_102_x_2014,pct_predator,19.2660550458716,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_102_x_2015,pct_predator,2.97029702970297,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_102_x_2016,pct_predator,0.757575757575758,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_102_x_2017,pct_predator,0.909090909090909,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_103_x_2014,pct_predator,4.90196078431373,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,81.2961548255666
west_103_x_2015,pct_predator,5.94059405940594,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_103_x_2016,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_103_x_2017,pct_predator,2.80373831775701,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_104_x_2014,pct_predator,2.7027027027027,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_104_x_2015,pct_predator,5.22388059701493,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_104_x_2016,pct_predator,3.77358490566038,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,8.02499387405048
west_104_x_2017,pct_predator,10.3448275862069,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_105_x_2014,pct_predator,2.58620689655172,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_105_x_2015,pct_predator,4.20168067226891,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,35.8234202772018
west_105_x_2016,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_105_x_2017,pct_predator,10.0840336134454,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_106_x_2014,pct_predator,0.833333333333333,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_106_x_2015,pct_predator,1.63934426229508,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_106_x_2016,pct_predator,2.91970802919708,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_106_x_2017,pct_predator,2.87769784172662,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_107_x_2014,pct_predator,0.869565217391304,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_107_x_2015,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_108_x_2014,pct_predator,1.78571428571429,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_108_x_2015,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_108_x_2016,pct_predator,1.20481927710843,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_108_x_2017,pct_predator,7.01754385964912,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_109_x_2014,pct_predator,0.869565217391304,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_109_x_2015,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_109_x_2016,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_109_x_2017,pct_predator,5.26315789473684,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_110_r_2017,pct_predator,1.5748031496063,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_110_x_2016,pct_predator,4.50450450450451,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,55.4873054873055
west_110_x_2017,pct_predator,4.08163265306122,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,28.028094354625
west_114_r_2016,pct_predator,5.45454545454545,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,100
west_ajc_x_2016,pct_predator,0,family,coast,ffg,decrease,5.19,3.65,71.43,5.19,3.65,0
west_101_x_2014,rich_filter,0,family,coast,ffg,decrease,2,0.51,80.95,2,0.51,0
west_101_x_2015,rich_filter,0,family,coast,ffg,decrease,2,0.51,80.95,2,0.51,0
west_101_x_2016,rich_filter,0,family,coast,ffg,decrease,2,0.51,80.95,2,0.51,0
west_101_x_2017,rich_filter,0,family,coast,ffg,decrease,2,0.51,80.95,2,0.51,0
west_102_x_2014,rich_filter,0,family,coast,ffg,decrease,2,0.51,80.95,2,0.51,0
